Component;Path;Div Count;Ghosts Detected;Action Priority
Alerts;components/design-system/sections/Alerts.jsx;9;bootstrapLegacy (4x);Mitja
UniversalCard.Footer;components/ui/universal-card/UniversalCard.Footer.jsx;9;bootstrapLegacy (2x) | divSoup (1x) | hardcodedColors (2x);Mitja
MemoryBar;pages/features/anima-del-mas/MemoryBar.jsx;9;divSoup (2x) | dangerousScroll (1x);Mitja
ClauerDeLaTerreta;components/ClauerDeLaTerreta.jsx;8;divSoup (2x);Mitja
MurFeed;components/MurFeed.jsx;8;divSoup (2x);Mitja
UniversalCard;components/UniversalCard.jsx;8;divSoup (2x) | dangerousScroll (1x);Mitja
SpacingAndGrid;components/design-system/sections/SpacingAndGrid.jsx;8;divSoup (3x) | hardcodedColors (1x);Mitja
Marketplace;components/features/Marketplace.jsx;8;divSoup (1x);Mitja
NotebookList;components/features/NotebookList.jsx;8;divSoup (1x) | hardcodedColors (10x);Mitja
KeychainBackupUI;components/keychain/KeychainBackupUI.jsx;8;Net;Baixa
AgentSelectorModal;components/modals/AgentSelectorModal.jsx;8;divSoup (2x);Mitja
TranslationModal;components/modals/TranslationModal.jsx;8;bootstrapLegacy (2x) | divSoup (2x) | hardcodedColors (3x);Mitja
IAIASandbox;pages/admin/IAIASandbox.jsx;8;bootstrapLegacy (1x) | divSoup (2x) | dangerousScroll (2x);Mitja
VisorNano;pages/features/VisorNano.jsx;8;bootstrapLegacy (1x) | divSoup (2x);Mitja
ConflictResolutionPage;pages/system/ConflictResolutionPage.jsx;8;divSoup (1x) | hardcodedColors (5x) | dangerousScroll (1x);Mitja
App;App.jsx;7;divSoup (1x);Mitja
ConnectionSelectorModal;components/modals/ConnectionSelectorModal.jsx;7;divSoup (2x);Mitja
CreateEventModal;components/modals/CreateEventModal.jsx;7;divSoup (1x) | hardcodedColors (2x) | dangerousScroll (1x);Mitja
ModalManager;components/ui/ModalManager.jsx;7;bootstrapLegacy (1x);Mitja
ManualPage;pages/admin/ManualPage.jsx;7;divSoup (3x);Mitja
CommunityDirectory;pages/community/CommunityDirectory.jsx;7;bootstrapLegacy (1x) | divSoup (1x) | dangerousScroll (1x);Mitja
UsersDirectory;pages/community/UsersDirectory.jsx;7;divSoup (1x) | dangerousScroll (1x);Mitja
